name,developers,appid,type,price,ratings,release date,genres,platforms
"Alpine, freeride journey",['Klzone'],3035970,game,$0.00,0,Coming Soon,"['Action', 'Sports']",['windows']
KELDER Demo,"['THOs Dev', 'Mad Muffin Studios']",3036000,demo,$0.00,0,"Aug 8, 2024",[],['windows']
Flash Diving Demo,['Paraxodon'],3036070,demo,$0.00,0,"Jun 9, 2024",[],['windows']
Hermit and Pig Demo,['Heavy Lunch Studio LLC'],3036090,demo,$0.00,0,"Jun 11, 2024",[],"['windows', 'mac']"
Spellslinger Demo,['Doobyredwizard'],3036110,demo,$0.00,0,"Jun 10, 2024",[],['windows']
Isabella: Chasing Shadows Demo,['Badtimetales'],3036120,demo,$0.00,0,"Nov 26, 2024",[],['windows']
Pawn Shop Simulator: Prologue,['Silent Parrot Studio SRL'],3036140,demo,$0.00,0,Coming Soon,"['Action', 'Adventure', 'Indie', 'Simulation']",['windows']
Afternoon of Resurrection,['Kilmatsu'],3036150,game,$0.99,0,"Aug 15, 2024",['Indie'],['windows']
Straight Up Poker SE,['Jon Wolfe'],3036170,game,$29.99,0,"Sep 5, 2024","['Casual', 'Strategy', 'Early Access']","['windows', 'mac', 'linux']"
LlamaRPG Playtest,[],3036240,game,$0.00,0,"Jun 6, 2024",[],['windows']
Viva Veloce Demo,['Yakamoz Studios'],3036250,demo,$0.00,0,"Jun 9, 2024",[],['windows']
Chimp Memory,"[""Windmill's Light""]",3036280,game,$1.19,0,"Nov 1, 2024","['Casual', 'Indie', 'Simulation']",['windows']
Rush Delivery Demo,['Jianghui Dai'],3036290,demo,$0.00,0,"Jun 13, 2024",[],['windows']
Life Codex,['Noc Amok'],3036310,game,$0.00,0,Coming Soon,['Adventure'],['windows']
My Last Stand: Survivors,['ZHR'],3036320,game,$3.19,0,"Jul 13, 2024","['Action', 'Casual', 'Indie', 'RPG', 'Early Access']",['windows']
Chaos Rush : Tower Defense,['MasterGames Co;Ltd;'],3036330,game,$9.99,0,"Dec 2, 2024",['Strategy'],['windows']
Crossedland Demo,['Tasteful Soup'],3036340,demo,$0.00,0,"Jun 9, 2024",[],['windows']
A Case of Fraud,['Hesperus Games'],3036350,game,$0.00,0,Coming Soon,"['Adventure', 'Indie']",['windows']
Heaven Crawler,"['Carbon Machina', 'Critical Slash']",3036360,game,$0.00,0,Coming Soon,"['Action', 'Indie', 'RPG']",['windows']
Turtle Champs,['ThatCarrotFella'],3036380,game,$0.00,0,"Jul 4, 2024","['Action', 'Casual', 'Indie', 'Sports', 'Free To Play']",['windows']
PSEUDOKU,['KristophersVictory'],3036390,game,$3.59,0,"Jul 14, 2024",['Indie'],['windows']
Sound of Slash,['Ussistant Studio'],3036410,game,$0.00,0,"Aug 31, 2024","['Action', 'Indie', 'Free To Play', 'Early Access']",['windows']
Robo Ride & Glide,['Isaac Kasdorf'],3036440,game,$0.00,0,Coming Soon,"['Action', 'Indie', 'Racing']",['windows']
Fantasy Football Tactics,['John Lansing'],3035460,game,$0.00,0,Coming Soon,"['Indie', 'RPG', 'Sports', 'Strategy']","['windows', 'mac']"
Vainly Playtest,[],3035470,game,$0.00,0,"Jun 7, 2024",[],['windows']
Visions of Mana: Deluxe Upgrade,['Square Enix'],3035480,dlc,$20.00,0,"Aug 29, 2024","['Action', 'RPG']",['windows']
Sheep Sweep Playtest,[],3035520,game,$0.00,0,"Jul 14, 2024",[],['windows']
Escape from HAON ISLAND,['Sam Dah Studio'],3035530,game,$0.00,0,"Jul 18, 2024","['Indie', 'Free To Play']",['windows']
Kairos'Light - Vanilla,"['Manon Carrier', 'Jean-marc Vanbalberghe', 'Arnaud Vanbalberghe']",3035560,dlc,$0.00,0,"Jun 25, 2024","['Indie', 'Simulation', 'Free To Play']",['windows']
"Woohoo! - Game ""Math Path""",['Gray Swan Games'],3035590,dlc,$0.89,0,"Jul 23, 2024","['Casual', 'Indie', 'Strategy', 'Free To Play']",['windows']
"Woohoo! - Game ""Fourteens""",['Gray Swan Games'],3035600,dlc,$0.89,0,"Jul 23, 2024","['Casual', 'Indie', 'Strategy', 'Free To Play']",['windows']
"Woohoo! - Game ""Escape & Evade""",['Gray Swan Games'],3035610,dlc,$1.99,0,"Sep 30, 2024","['Casual', 'Indie', 'Strategy', 'Free To Play']",['windows']
Tuna Rice,['Konayachi'],3035620,game,$0.00,0,Coming Soon,"['Indie', 'Free To Play']","['windows', 'mac', 'linux']"
Lalli,['AcroGames'],3035640,game,$2.99,0,"Jun 20, 2024","['Action', 'Adventure']",['windows']
Anima Song from the Abyss Playtest,[],3035680,game,$0.00,0,"Jun 7, 2024",[],['windows']
USD Clicker,['RazDva Games'],3035710,game,$0.49,0,"Jun 20, 2024","['Casual', 'Indie', 'Simulation']",['windows']
Idles of Madness,['Possess Nothing Studios'],3035740,game,$0.00,0,Coming Soon,"['Casual', 'Simulation', 'Strategy']",['windows']
Unicycle Rage,['Foschiera Studio'],3035780,game,$4.99,0,"Aug 22, 2024","['Casual', 'Indie', 'Simulation', 'Sports']",['windows']
Bearnard Soundtrack,['Michał Wikliński'],3035840,music,$3.99,0,"Aug 12, 2024",[],"['windows', 'mac', 'linux']"
Slenderman: Shadow of the Forest,['BugTeam'],3035850,game,$4.99,0,"Nov 23, 2024","['Adventure', 'Indie']",['windows']
KAXUKI,['N3X Labs Private Limited'],3035860,game,$0.00,0,Coming Soon,"['Action', 'Indie', 'Free To Play']",['windows']
Dream Runner,['Glass Arcade'],3035870,game,$0.00,0,Coming Soon,"['Adventure', 'Indie']","['windows', 'mac']"
Devil's Drizzle,"['Cozy Creeps Games', 'Filipe Acosta']",3035880,game,$0.00,0,Coming Soon,"['Action', 'Adventure', 'Casual', 'Indie']",['windows']
Fentanyl Edition,['Exezur'],3035890,game,$0.00,0,Coming Soon,"['Action', 'Indie']",['windows']
Slide! Demo,['Not The Loading Screen'],3035900,demo,$0.00,0,"Jun 17, 2024",[],['windows']
Atonia: Netorare Annals,['3Diddly Games'],3035910,game,$4.79,0,"Jul 11, 2024","['Adventure', 'Casual', 'Indie', 'RPG']",['windows']
Slide Treasures: Lydia's Hunt,['LUMA Gameworks'],3035920,game,$0.99,0,"Aug 1, 2024","['Casual', 'Indie']",['windows']
Lift Attendant,['Martilo Games'],3035940,game,$3.74,0,"Jul 31, 2024","['Casual', 'Indie']","['windows', 'mac']"
Xenospore,['Aviv Levy'],3034960,game,$0.00,0,Coming Soon,['Indie'],['windows']
HachikanShogi Matta Ari,['As-key'],3034970,game,$0.00,0,"Jul 6, 2024","['Casual', 'Free To Play']",['windows']
GTR - Garage Town Racing,['Messier Games'],3034980,game,$0.00,0,Coming Soon,"['Racing', 'Simulation', 'Free To Play']",['windows']
Trial Traction Demo,['Ilidiah Games'],3034990,demo,$0.00,0,"Jun 26, 2024",[],['windows']
SuperSerpentSnake3D,['HTNG Studio'],3035000,game,$4.99,0,"Oct 19, 2024","['Action', 'Casual', 'Indie']",['windows']
Deep Cuts,['Scythe Dev Team'],3035010,game,$0.00,0,Coming Soon,['Action'],['windows']
